Name,Class_Type,Namespace,Brick_Type,Location,Unit,ID
Cooling_Tower_3_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_3,KiloW-HR,CT2_KWH
Cooling_Tower_4_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_4,KiloW-HR,CT3_KWH
Cooling_Tower_5_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_5,KiloW-HR,CT4_KWH
Cooling_Tower_6_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_6,KiloW-HR,CT5_KWH
Cooling_Tower_7_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_7,KiloW-HR,CT6_KWH
Cooling_Tower_8_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_8,KiloW-HR,CT7_KWH
Cooling_Tower_1_Fan_VSD_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_1_Fan,HZ,CT1_HZ
Cooling_Tower_2_Fan_VSD_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_2_Fan,HZ,CT2_HZ
Cooling_Tower_3_Fan_VSD_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_3_Fan,HZ,CT3_HZ
Cooling_Tower_4_Fan_VSD_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_4_Fan,HZ,CT4_HZ
Cooling_Tower_5_Fan_VSD_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_5_Fan,HZ,CT5_HZ
Cooling_Tower_6_Fan_VSD_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_6_Fan,HZ,CT6_HZ
Cooling_Tower_7_Fan_VSD_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_7_Fan,HZ,CT7_HZ
Cooling_Tower_8_Fan_VSD_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_8_Fan,HZ,CT8_HZ
Condenser_Water_Pump_1_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_1,KiloW,CH1_KW
Condenser_Water_Pump_2_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_2,KiloW,CH2_KW
Condenser_Water_Pump_3_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_3,KiloW,CH3_KW
Condenser_Water_Pump_4_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_4,KiloW,CH4_KW
Condenser_Water_Pump_5_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_5,KiloW,CH5_KW
Condenser_Water_Pump_6_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_6,KiloW,CH6_KW
Condenser_Water_Pump_7_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_7,KiloW,CH7_KW
Condenser_Water_Pump_8_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_8,KiloW,CH8_KW
Condenser_Water_Pump_1_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_1,KiloW-HR,CDWP0_KWH
